Date and Hour,File Worked On,Time Spent on File (seconds),App Used,Project Name
2024-11-20 18:00,-,216.28803600000003,ARCHICAD.exe,-
2024-11-20 18:00,-,11.783238,others,-
2024-11-20 18:00,18-00_20_11_2024.csv - file_usage_tracker - Visual Studio Code,68.051274,others,-
2024-11-20 18:00,2024-projects.csv - file_usage_tracker - Visual Studio Code,15.947123999999999,others,-
2024-11-20 18:00,Active File Tracking Script,1.7619,opera.exe,-
2024-11-20 18:00,Doc1.docx,18.474152,WINWORD.EXE,-
2024-11-20 18:00,Parts.docx,19.966888000000004,WINWORD.EXE,-
2024-11-20 18:00,Task Switching,3.69407,others,-
2024-11-20 18:00,file_utils.py - file_usage_tracker - Visual Studio Code,11.472112,others,-
2024-11-20 18:00,Документ1,122.11127599999999,WINWORD.EXE,-
2024-11-20 19:00,-,0.113113,others,-
2024-11-20 19:00,19-00_20_11_2024.csv - file_usage_tracker - Visual Studio Code,22.966058,others,-
2024-11-20 19:00,Doc1.docx,2.268959,WINWORD.EXE,455
2024-11-20 19:00,Parts.docx,7.842575,WINWORD.EXE,-
2024-11-20 19:00,Rakuten Viber,0.552978,others,-
2024-11-21 22:00,-,40.024589,ARCHICAD.exe,-
2024-11-21 22:00,22-00_21_11_2024.csv - file_usage_tracker - Visual Studio Code,8.458633,others,-
2024-11-21 22:00,archicad_utils.py - file_usage_tracker - Visual Studio Code,134.283065,others,-
2024-11-21 22:00,erta (\\192.168.21.223) (Y:) and 3 more tabs - File Explorer,110.376153,others,-
2024-11-22 14:00,-,15.637665000000002,ARCHICAD.exe,-
2024-11-22 14:00,14-00_22_11_2024.csv - file_usage_tracker - Visual Studio Code,117.12368599999999,others,-
2024-11-22 14:00,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,6.757116,ARCHICAD.exe,486
2024-11-22 14:00,Fixing ArchiCAD API Code,1.20658,opera.exe,-
2024-11-22 14:00,Fixing ArchiCAD API Code - Opera,13.166163000000001,ARCHICAD.exe,-
2024-11-22 14:00,archicad_utils.py - file_usage_tracker - Visual Studio Code,51.16149,others,-
2024-11-22 14:00,file_tracker.py - file_usage_tracker - Visual Studio Code,6.080359,others,-
2024-11-22 14:00,Документ1,2.497196,WINWORD.EXE,-
